GeneID,Symbol,Entry,Entry Name,Gene Names
3119,HLA-DQB1,P01920,DQB1_HUMAN,HLA-DQB1 HLA-DQB
1410,CRYAB,P02511,CRYAB_HUMAN,CRYAB CRYA2 HSPB5
2512,FTL,P02792,FRIL_HUMAN,FTL
2495,FTH1,P02794,FRIH_HUMAN,FTH1 FTH FTHL6 OK/SW-cl.84 PIG15
2629,GBA1,P04062,GBA1_HUMAN,GBA1 GBA GC GLUC
2517,FUCA1,P04066,FUCO_HUMAN,FUCA1 Nbla10230
972,CD74,P04233,HG2A_HUMAN,CD74 DHLAG
3115,HLA-DPB1,P04440,DPB1_HUMAN,HLA-DPB1 HLA-DP1B
6184,RPN1,P04843,RPN1_HUMAN,RPN1
351,APP,P05067,A4_HUMAN,APP A4 AD1
4353,MPO,P05164,PERM_HUMAN,MPO
3120,HLA-DQB2,P05538,DQB2_HUMAN,HLA-DQB2 HLA-DXB
3643,INSR,P06213,INSR_HUMAN,INSR
2717,GLA,P06280,AGAL_HUMAN,GLA
3111,HLA-DOA,P06340,DOA_HUMAN,HLA-DOA HLA-DNA HLA-DZA
3073,HEXA,P06865,HEXA_HUMAN,HEXA
1509,CTSD,P07339,CATD_HUMAN,CTSD CPSD
823,CAPN1,P07384,CAN1_HUMAN,CAPN1 CANPL1 PIG30
154,ADRB2,P07550,ADRB2_HUMAN,ADRB2 ADRB2R B2AR
5660,PSAP,P07602,SAP_HUMAN,PSAP GLBA SAP1
3074,HEXB,P07686,HEXB_HUMAN,HEXB HCC7
1514,CTSL,P07711,CATL1_HUMAN,CTSL CTSL1
1508,CTSB,P07858,CATB_HUMAN,CTSB CPSB
6439,SFTPB,P07988,PSPB_HUMAN,SFTPB SFTP3
6520,SLC3A2,P08195,4F2_HUMAN,SLC3A2 MDU1
2990,GUSB,P08236,BGLR_HUMAN,GUSB
1511,CTSG,P08311,CATG_HUMAN,CTSG
3055,HCK,P08631,HCK_HUMAN,HCK
412,STS,P08842,STS_HUMAN,STS ARSC1
967,CD63,P08962,CD63_HUMAN,CD63 MLA1 TSPAN30
1211,CLTA,P09496,CLCA_HUMAN,CLTA
1212,CLTB,P09497,CLCB_HUMAN,CLTB
5159,PDGFRB,P09619,PGFRB_HUMAN,PDGFRB PDGFR PDGFR1
1512,CTSH,P09668,CATH_HUMAN,CTSH CPSB
7345,UCHL1,P09936,UCHL1_HUMAN,UCHL1
5045,FURIN,P09958,FURIN_HUMAN,FURIN FUR PACE PCSK3
801;805;808,CALM1,P0DP23,CALM1_HUMAN,CALM1 CALM CAM CAM1
801;805;808,CALM2,P0DP24,CALM2_HUMAN,CALM2 CAM2 CAMB
801;805;808,CALM3,P0DP25,CALM3_HUMAN,CALM3 CALML2 CAM3 CAMC CAMIII
5552,SRGN,P10124,SRGN_HUMAN,SRGN PRG PRG1
3002,GZMB,P10144,GRAB_HUMAN,GZMB CGL1 CSPB CTLA1 GRB
6036,RNASE2,P10153,RNAS2_HUMAN,RNASE2 EDN RNS2
2548,GAA,P10253,LYAG_HUMAN,GAA
5476,CTSA,P10619,PPGB_HUMAN,CTSA PPGB
1191,CLU,P10909,CLUS_HUMAN,CLU APOJ CLI KUB1 AAG4
53,ACP2,P11117,PPAL_HUMAN,ACP2
3312,HSPA8,P11142,HSP7C_HUMAN,HSPA8 HSC70 HSP73 HSPA10
3684,ITGAM,P11215,ITAM_HUMAN,ITGAM CD11B CR3A
3916,LAMP1,P11279,LAMP1_HUMAN,LAMP1
3482,IGF2R,P11717,MPRI_HUMAN,IGF2R MPRI
1636,ACE,P12821,ACE_HUMAN,ACE DCP DCP1
6714,SRC,P12931,SRC_HUMAN,SRC SRC1
8519,IFITM1,P13164,IFM1_HUMAN,IFITM1 CD225 IFI17
10437,IFI30,P13284,GILT_HUMAN,IFI30 GILT IP30
3920,LAMP2,P13473,LAMP2_HUMAN,LAMP2
1080,CFTR,P13569,CFTR_HUMAN,CFTR ABCC7
54,ACP5,P13686,PPA5_HUMAN,ACP5
634,CEACAM1,P13688,CEAM1_HUMAN,CEACAM1 BGP BGP1
3126,HLA-DRB4,P13762,DRB4_HUMAN,HLA-DRB4
3112,HLA-DOB,P13765,DOB_HUMAN,HLA-DOB
3292,HSD17B1,P14061,DHB1_HUMAN,HSD17B1 E17KSR EDH17B1 EDH17B2 EDHB17 SDR28C1
5551,PRF1,P14222,PERF_HUMAN,PRF1 PFP
7299,TYR,P14679,TYRO_HUMAN,TYR
3459,IFNGR1,P15260,INGR1_HUMAN,IFNGR1
410,ARSA,P15289,ARSA_HUMAN,ARSA
55,ACP3,P15309,PPAP_HUMAN,ACP3 ACPP
3753,KCNE1,P15382,KCNE1_HUMAN,KCNE1
2799,GNS,P15586,GNS_HUMAN,GNS
913,CD1E,P15812,CD1E_HUMAN,CD1E
912,CD1D,P15813,CD1D_HUMAN,CD1D
411,ARSB,P15848,ARSB_HUMAN,ARSB
2720,GLB1,P16278,BGAL_HUMAN,GLB1 ELNR1
5532,PPP3CB,P16298,PP2BB_HUMAN,PPP3CB CALNA2 CALNB CNA2
4668,NAGA,P17050,NAGAB_HUMAN,NAGA
3454,IFNAR1,P17181,INAR1_HUMAN,IFNAR1 IFNAR
6609,SMPD1,P17405,ASM_HUMAN,SMPD1 ASM
824,CAPN2,P17655,CAN2_HUMAN,CAPN2 CANPL2
2760,GM2A,P17900,SAP3_HUMAN,GM2A
7942,TFEB,P19484,TFEB_HUMAN,TFEB BHLHE35
7030,TFE3,P19532,TFE3_HUMAN,TFE3 BHLHE33
3113,HLA-DPA1,P20036,DPA1_HUMAN,HLA-DPA1 HLA-DP1A HLASB
5864,RAB3A,P20336,RAB3A_HUMAN,RAB3A
9572,NR1D1,P20393,NR1D1_HUMAN,NR1D1 EAR1 HREV THRAL
4074,M6PR,P20645,MPRD_HUMAN,M6PR MPR46 MPRD
2999,GZMH,P20718,GRAH_HUMAN,GZMH CGL2 CTSGL2
175,AGA,P20933,ASPG_HUMAN,AGA
526,ATP6V1B2,P21281,VATB2_HUMAN,ATP6V1B2 ATP6B2 VPP3
528,ATP6V1C1,P21283,VATC1_HUMAN,ATP6V1C1 ATP6C ATP6D VATC
7128,TNFAIP3,P21580,TNAP3_HUMAN,TNFAIP3 OTUD7C
3423,IDS,P22304,IDS_HUMAN,IDS SIDS
3973,LHCGR,P22888,LSHR_HUMAN,LHCGR LCGR LGR2 LHRHR
1393,CRHBP,P24387,CRHBP_HUMAN,CRHBP CRFBP
1520,CTSS,P25774,CATS_HUMAN,CTSS
5595,MAPK3,P27361,MK03_HUMAN,MAPK3 ERK1 PRKM3
527,ATP6V0C,P27449,VATL_HUMAN,ATP6V0C ATP6C ATP6L ATPL
811,CALR,P27797,CALR_HUMAN,CALR CRTC
3108,HLA-DMA,P28067,DMA_HUMAN,HLA-DMA DMA RING6
3109,HLA-DMB,P28068,DMB_HUMAN,HLA-DMB DMB RING7
5594,MAPK1,P28482,MK01_HUMAN,MAPK1 ERK2 PRKM1 PRKM2
2896,GRN,P28799,GRN_HUMAN,GRN
947,CD34,P28906,CD34_HUMAN,CD34
910,CD1B,P29016,CD1B_HUMAN,CD1B
911,CD1C,P29017,CD1C_HUMAN,CD1C
9588,PRDX6,P30041,PRDX6_HUMAN,PRDX6 AOP2 KIAA0106
3134,HLA-F,P30511,HLAF_HUMAN,HLA-F HLA-5.4 HLAF
